gxyName	alenRank	math_initial_theta	pitch_angle	math_initial_radius	relative_theta_start	relative_theta_end	r_start	r_end	used2rev	failed2rev	hasUndefinedEndpoints	arc_length	num_pixels	err_per_len	err_per_pixel	mean_intensity	brt_ratio_score	anovaF_score	clusOutputColor
1237662239093424322	1	6.534689	3.826305	67.172290	0.000000	2.698906	56.078644	67.172290	0	0	0	166.241764	3854.000000	4220.334253	182.043542	0.548307	1.223358	462.346653	[1_0_0.8571]
1237662239093424322	2	9.380364	2.196769	53.086119	0.000000	3.042221	47.238865	53.086119	0	0	0	152.544528	3332.000000	6190.106347	283.393412	0.627975	1.159805	315.636264	[0_1_0.1429]
1237662239093424322	3	9.917537	27.164728	98.563220	0.000000	1.276715	51.190242	98.563220	0	0	0	103.762890	1751.000000	418.664518	24.809732	0.419815	1.129615	126.280678	[0_1_1]
1237662239093424322	4	8.188066	-29.890916	100.626035	0.000000	0.367907	100.626035	124.323801	0	0	0	47.552429	557.000000	48.893132	4.174124	0.224072	1.123393	263.460467	[0_1_0.5714]
1237662239093424322	5	11.612547	-33.204647	99.732044	0.000000	0.270365	99.732044	119.037666	0	0	0	35.252970	397.000000	55.246508	4.905802	0.263995	1.059507	55.089333	[0.2857_0_1]
1237662239093424322	6	7.000360	51.344034	155.735279	0.000000	0.148741	129.309148	155.735279	0	0	0	33.840144	341.000000	31.053507	3.081687	0.100244	1.189070	248.719010	[0.7143_0_1]
1237662239093424322	7	10.733646	20.937968	106.163069	0.000000	0.295492	94.813759	106.163069	0	0	0	31.759028	257.000000	15.537723	1.920089	0.243113	1.038318	17.954491	[0_0.5714_1]
1237662239093424322	8	8.626600	-37.419409	143.745325	0.000000	0.162207	143.745325	162.738861	0	0	0	31.257623	310.000000	26.167496	2.638496	0.129609	1.169401	244.080030	[1_0.4286_0]
1237662239093424322	9	10.273024	36.408062	142.645034	0.000000	0.187641	124.210480	142.645034	0	0	0	31.059066	103.000000	0.849290	0.256099	0.144904	1.002161	0.108023	[0.7143_1_0]
1237662239093424322	10	10.306574	34.551574	145.163112	0.000000	0.180528	128.194054	145.163112	0	0	0	29.919991	83.000000	0.489388	0.176415	0.135436	1.001495	0.010359	[0.2857_1_0]
1237662239093424322	11	8.700563	-41.013881	107.760008	0.000000	0.189807	107.760008	127.101212	0	0	0	29.472677	285.000000	50.296931	5.201352	0.230219	1.047177	22.299286	[1_0.8571_0]
1237662239093424322	12	6.256606	7.314632	79.259338	0.000000	0.260479	76.653060	79.259338	0	0	0	20.470633	864.000000	4499.853114	106.614400	0.388679	1.044931	8.671624	[0_0.1429_1]
1237662239093424322	13	9.634568	4.777607	118.457437	0.000000	0.083404	117.634563	118.457437	0	0	0	9.879818	106.000000	28.295080	2.637266	0.215899	1.013706	1.837123	[1_0_0]
1237662239093424322	14	12.027727	-17.712377	130.542640	0.000000	0.061347	130.542640	133.125566	0	0	0	8.489795	51.000000	7.262763	1.209007	0.228058	1.043721	32.846652	[1_0_0.4286]
